Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Sweet corn, prepared or preserved","2022","9.51"
"Detailed trade matrix","United States of America","Romania","Import Quantity","Maize (corn)","2022","36166.8"
"Detailed trade matrix","United States of America","Russian Federation","Import Quantity","Sweet corn, prepared or preserved","2022","2.86"
"Detailed trade matrix","United States of America","South Africa","Import Quantity","Maize (corn)","2022","2.77"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Maize (corn)","2022","4.77"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Sweet corn, frozen","2022","105.69"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Sweet corn, prepared or preserved","2022","156.2"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Sweet corn, frozen","2022","161.68"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Sweet corn, prepared or preserved","2022","20365.69"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Maize (corn)","2022","96.19"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Sweet corn, frozen","2022","275.62"
"Detailed trade matrix","United States of America","Uganda","Import Quantity","Sweet corn, frozen","2022","9.18"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Quantity","Sweet corn, prepared or preserved","2022","11.12"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Maize (corn)","2022","52.4"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Maize (corn)","2022","47.41"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Sweet corn, frozen","2022","1664.92"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Sweet corn, prepared or preserved","2022","683.99"
"Detailed trade matrix","United States of America","Zimbabwe","Import Quantity","Maize (corn)","2022","1.31"
