Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Guatemala","Import Value","Maize (corn)","2022","21"
"Detailed trade matrix","United States of America","Guatemala","Import Value","Sweet corn, frozen","2022","70"
"Detailed trade matrix","United States of America","Guyana","Import Value","Maize (corn)","2022","8"
"Detailed trade matrix","United States of America","Honduras","Import Value","Maize (corn)","2022","116"
"Detailed trade matrix","United States of America","Honduras","Import Value","Sweet corn, frozen","2022","5"
"Detailed trade matrix","United States of America","Hungary","Import Value","Maize (corn)","2022","3"
"Detailed trade matrix","United States of America","Hungary","Import Value","Sweet corn, frozen","2022","330"
"Detailed trade matrix","United States of America","Hungary","Import Value","Sweet corn, prepared or preserved","2022","28"
"Detailed trade matrix","United States of America","India","Import Value","Sweet corn, frozen","2022","1281"
"Detailed trade matrix","United States of America","India","Import Value","Sweet corn, prepared or preserved","2022","107"
"Detailed trade matrix","United States of America","Israel","Import Value","Sweet corn, frozen","2022","11"
"Detailed trade matrix","United States of America","Israel","Import Value","Sweet corn, prepared or preserved","2022","32"
"Detailed trade matrix","United States of America","Italy","Import Value","Sweet corn, frozen","2022","686"
"Detailed trade matrix","United States of America","Mexico","Import Value","Green corn (maize)","2022","63903"
"Detailed trade matrix","United States of America","Mexico","Import Value","Maize (corn)","2022","13856"
"Detailed trade matrix","United States of America","Mexico","Import Value","Sweet corn, frozen","2022","11104"
"Detailed trade matrix","United States of America","Mexico","Import Value","Sweet corn, prepared or preserved","2022","19"
"Detailed trade matrix","United States of America","Netherlands (Kingdom of the)","Import Value","Maize (corn)","2022","36"
"Detailed trade matrix","United States of America","New Zealand","Import Value","Maize (corn)","2022","192"
"Detailed trade matrix","United States of America","Nicaragua","Import Value","Sweet corn, frozen","2022","378"
"Detailed trade matrix","United States of America","Nigeria","Import Value","Maize (corn)","2022","60"
"Detailed trade matrix","United States of America","Pakistan","Import Value","Maize (corn)","2022","36"
"Detailed trade matrix","United States of America","Peru","Import Value","Maize (corn)","2022","4122"
"Detailed trade matrix","United States of America","Peru","Import Value","Sweet corn, frozen","2022","10667"
"Detailed trade matrix","United States of America","Peru","Import Value","Sweet corn, prepared or preserved","2022","85"
"Detailed trade matrix","United States of America","Philippines","Import Value","Sweet corn, frozen","2022","32"
"Detailed trade matrix","United States of America","Philippines","Import Value","Sweet corn, prepared or preserved","2022","14"
"Detailed trade matrix","United States of America","Poland","Import Value","Sweet corn, frozen","2022","403"
"Detailed trade matrix","United States of America","Poland","Import Value","Sweet corn, prepared or preserved","2022","4"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Maize (corn)","2022","22"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Sweet corn, frozen","2022","120"
"Detailed trade matrix","United States of America","Republic of Korea","Import Value","Sweet corn, prepared or preserved","2022","45"
"Detailed trade matrix","United States of America","Romania","Import Value","Maize (corn)","2022","10745"
"Detailed trade matrix","United States of America","Russian Federation","Import Value","Sweet corn, prepared or preserved","2022","11"
"Detailed trade matrix","United States of America","South Africa","Import Value","Maize (corn)","2022","3"
"Detailed trade matrix","United States of America","Spain","Import Value","Maize (corn)","2022","27"
"Detailed trade matrix","United States of America","Spain","Import Value","Sweet corn, frozen","2022","159"
"Detailed trade matrix","United States of America","Spain","Import Value","Sweet corn, prepared or preserved","2022","510"
"Detailed trade matrix","United States of America","Thailand","Import Value","Sweet corn, frozen","2022","341"
"Detailed trade matrix","United States of America","Thailand","Import Value","Sweet corn, prepared or preserved","2022","26443"
"Detailed trade matrix","United States of America","Türkiye","Import Value","Maize (corn)","2022","432"
"Detailed trade matrix","United States of America","Türkiye","Import Value","Sweet corn, frozen","2022","480"
"Detailed trade matrix","United States of America","Uganda","Import Value","Sweet corn, frozen","2022","21"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Value","Sweet corn, prepared or preserved","2022","16"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Value","Maize (corn)","2022","222"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Maize (corn)","2022","142"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Sweet corn, frozen","2022","2849"
"Detailed trade matrix","United States of America","Viet Nam","Import Value","Sweet corn, prepared or preserved","2022","882"
"Detailed trade matrix","United States of America","Zimbabwe","Import Value","Maize (corn)","2022","3"
