Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Honduras","Import Quantity","Rice, milled","2022","9.29"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice","2022","11"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice, broken","2022","36.87"
"Detailed trade matrix","United States of America","India","Import Quantity","Rice, milled","2022","258109.17"
"Detailed trade matrix","United States of America","Indonesia","Import Quantity","Rice, milled","2022","19.66"
"Detailed trade matrix","United States of America","Iraq","Import Quantity","Rice, milled","2022","29.86"
"Detailed trade matrix","United States of America","Israel","Import Quantity","Rice, milled","2022","23.82"
"Detailed trade matrix","United States of America","Italy","Import Quantity","Rice, milled","2022","9445.04"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Rice, broken","2022","210.28"
"Detailed trade matrix","United States of America","Japan","Import Quantity","Rice, milled","2022","3663.06"
"Detailed trade matrix","United States of America","Jordan","Import Quantity","Rice, milled","2022","12.43"
"Detailed trade matrix","United States of America","Kazakhstan","Import Quantity","Rice, milled","2022","98.65"
"Detailed trade matrix","United States of America","Kenya","Import Quantity","Rice, milled","2022","9.65"
"Detailed trade matrix","United States of America","Latvia","Import Quantity","Rice, milled","2022","2.31"
"Detailed trade matrix","United States of America","Lebanon","Import Quantity","Rice, milled","2022","193"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Rice, milled","2022","2411.68"
"Detailed trade matrix","United States of America","Myanmar","Import Quantity","Rice, milled","2022","2.27"
"Detailed trade matrix","United States of America","Nepal","Import Quantity","Rice, milled","2022","8.54"
"Detailed trade matrix","United States of America","Netherlands (Kingdom of the)","Import Quantity","Rice, milled","2022","1535.11"
"Detailed trade matrix","United States of America","Nigeria","Import Quantity","Rice, milled","2022","1.5"
"Detailed trade matrix","United States of America","North Macedonia","Import Quantity","Rice, milled","2022","3.4"
"Detailed trade matrix","United States of America","Pakistan","Import Quantity","Rice, milled","2022","20096.67"
"Detailed trade matrix","United States of America","Paraguay","Import Quantity","Rice, milled","2022","25.71"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Rice, milled","2022","147.04"
"Detailed trade matrix","United States of America","Philippines","Import Quantity","Rice, milled","2022","27.39"
"Detailed trade matrix","United States of America","Poland","Import Quantity","Rice, milled","2022","21.98"
"Detailed trade matrix","United States of America","Portugal","Import Quantity","Rice, milled","2022","175"
"Detailed trade matrix","United States of America","Republic of Korea","Import Quantity","Rice, milled","2022","1253.33"
"Detailed trade matrix","United States of America","Russian Federation","Import Quantity","Rice, milled","2022","17.88"
"Detailed trade matrix","United States of America","Serbia","Import Quantity","Rice, milled","2022","7.56"
"Detailed trade matrix","United States of America","South Africa","Import Quantity","Rice, milled","2022","0.05"
"Detailed trade matrix","United States of America","Spain","Import Quantity","Rice, milled","2022","9648.23"
"Detailed trade matrix","United States of America","Sri Lanka","Import Quantity","Rice, milled","2022","274.92"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Rice","2022","49.76"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Rice, broken","2022","37757.22"
"Detailed trade matrix","United States of America","Thailand","Import Quantity","Rice, milled","2022","706291.65"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Rice, broken","2022","12.32"
"Detailed trade matrix","United States of America","Türkiye","Import Quantity","Rice, milled","2022","816.32"
"Detailed trade matrix","United States of America","United Arab Emirates","Import Quantity","Rice, milled","2022","198.48"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Rice, broken","2022","200"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Rice, milled","2022","13.24"
"Detailed trade matrix","United States of America","United Republic of Tanzania","Import Quantity","Rice, milled","2022","7.49"
"Detailed trade matrix","United States of America","Uruguay","Import Quantity","Rice, milled","2022","2681.75"
"Detailed trade matrix","United States of America","Uzbekistan","Import Quantity","Rice, milled","2022","61.15"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Rice, broken","2022","4421.65"
"Detailed trade matrix","United States of America","Viet Nam","Import Quantity","Rice, milled","2022","19628.05"
